country,country_code,indicator,indicator_code,year,value
Bolivia,BOL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1985,373.0
Bolivia,BOL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1986,416.0
Guatemala,GTM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1988,105.0
United Arab Emirates,ARE,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1990,32.6
China,CHN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1990,88.9
Bolivia,BOL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1991,390.0
Japan,JPN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1991,9.45654082203654
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1991,27.4
"Egypt, Arab Rep.",EGY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1992,174.0
India,IND,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1992,437.0
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1992,203.9
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1992,15.9
Bhutan,BTN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1993,380.0
Guatemala,GTM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1993,190.0
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1993,259.0
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1993,6.0
Tunisia,TUN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1993,68.9
Iraq,IRQ,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1994,291.0
Morocco,MAR,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1994,228.0
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1994,219.0
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1994,24.4
Philippines,PHL,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1994,172.0
United Arab Emirates,ARE,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,22.4
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,44.0
Antigua and Barbuda,ATG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,0.0
"Bahamas, The",BHS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,64.0
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,115.7
China,CHN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,61.9
Costa Rica,CRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,19.9
Cuba,CUB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,47.6
Ecuador,ECU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,47.2
Sri Lanka,LKA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,61.0
Mexico,MEX,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,78.77
Mongolia,MNG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,186.0
Oman,OMN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,22.0
Panama,PAN,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,83.9
Puerto Rico (US),PRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,14.2
Paraguay,PRY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,130.7
Uruguay,URY,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,22.9
United States,USA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1995,7.1
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,46.9
Antigua and Barbuda,ATG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,0.0
"Bahamas, The",BHS,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,0.0
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,103.2
Costa Rica,CRI,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,29.0
Cuba,CUB,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,36.4
Dominica,DMA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,0.0
Dominican Republic,DOM,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,229.3
Ecuador,ECU,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,54.1
Sri Lanka,LKA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,62.0
Mexico,MEX,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,1996,78.39
